id,date,user,pc,file_tree,activity
D-C1007-0,05/02/2011 12:01:00,C1007,PC-C1007,R:\,Connect
D-C1007-9,05/11/2011 12:01:00,C1007,PC-C1007,R:\,Connect
D-C1000-10,05/12/2011 16:50:00,C1000,PC-C1000,R:\,Connect
D-C1000-11,05/13/2011 16:50:00,C1000,PC-C1000,R:\,Connect
D-C1000-12,05/14/2011 16:50:00,C1000,PC-C1000,R:\,Connect
D-C1000-13,05/15/2011 16:50:00,C1000,PC-C1000,R:\,Connect
D-C1000-14,05/16/2011 16:50:00,C1000,PC-C1000,R:\,Connect
D-C1000-15,05/17/2011 16:50:00,C1000,PC-C1000,R:\,Connect
D-C1000-16,05/18/2011 16:50:00,C1000,PC-C1000,R:\,Connect
D-C1018-16,05/18/2011 16:50:00,C1018,PC-C1018,R:\,Connect
D-C1000-17,05/19/2011 16:50:00,C1000,PC-C1000,R:\,Connect
D-C1000-18,05/20/2011 16:50:00,C1000,PC-C1000,R:\,Connect
D-C1007-18,05/20/2011 12:01:00,C1007,PC-C1007,R:\,Connect
D-C1018-18,05/20/2011 16:50:00,C1018,PC-C1018,R:\,Connect
D-C1000-19,05/21/2011 16:50:00,C1000,PC-C1000,R:\,Connect
D-C1000-20,05/22/2011 16:50:00,C1000,PC-C1000,R:\,Connect
D-C1018-20,05/22/2011 16:50:00,C1018,PC-C1018,R:\,Connect
D-C1000-21,05/23/2011 16:50:00,C1000,PC-C1000,R:\,Connect
D-C1000-22,05/24/2011 16:50:00,C1000,PC-C1000,R:\,Connect
D-C1018-22,05/24/2011 16:50:00,C1018,PC-C1018,R:\,Connect
D-C1000-23,05/25/2011 16:50:00,C1000,PC-C1000,R:\,Connect
D-U-MOHAMMED-19,05/21/2011 23:20:00,U-MOHAMMED,PC-U-MOHAMMED,R:\,Connect
D-U-MOHAMMED-20,05/22/2011 23:20:00,U-MOHAMMED,PC-U-MOHAMMED,R:\,Connect
D-U-MOHAMMED-21,05/23/2011 23:20:00,U-MOHAMMED,PC-U-MOHAMMED,R:\,Connect
D-U-MOHAMMED-22,05/24/2011 23:20:00,U-MOHAMMED,PC-U-MOHAMMED,R:\,Connect
D-U-MOHAMMED-23,05/25/2011 23:20:00,U-MOHAMMED,PC-U-MOHAMMED,R:\,Connect
