id,date,user,pc,filename,activity,to_removable_media,from_removable_media,content
F-C1000-0-0,05/02/2011 11:00:00,C1000,PC-C1000,C:\docs\report_0.pdf,File Open,False,False,
F-C1000-0-1,05/02/2011 11:01:00,C1000,PC-C1000,C:\docs\report_1.pdf,File Open,False,False,
F-C1000-0-2,05/02/2011 11:02:00,C1000,PC-C1000,C:\docs\report_2.pdf,File Open,False,False,
F-C1000-0-3,05/02/2011 11:03:00,C1000,PC-C1000,C:\docs\report_3.pdf,File Open,False,False,
F-C1000-0-4,05/02/2011 11:04:00,C1000,PC-C1000,C:\docs\report_4.pdf,File Open,False,False,
F-C1000-0-5,05/02/2011 11:05:00,C1000,PC-C1000,C:\docs\report_5.pdf,File Open,False,False,
F-C1000-0-6,05/02/2011 11:06:00,C1000,PC-C1000,C:\docs\report_6.pdf,File Open,False,False,
F-C1000-0-7,05/02/2011 11:07:00,C1000,PC-C1000,C:\docs\report_7.pdf,File Open,False,False,
F-C1001-0-0,05/02/2011 11:00:00,C1001,PC-C1001,C:\docs\report_0.pdf,File Open,False,False,
F-C1001-0-1,05/02/2011 11:01:00,C1001,PC-C1001,C:\docs\report_1.pdf,File Open,False,False,
F-C1001-0-2,05/02/2011 11:02:00,C1001,PC-C1001,C:\docs\report_2.pdf,File Open,False,False,
F-C1001-0-3,05/02/2011 11:03:00,C1001,PC-C1001,C:\docs\report_3.pdf,File Open,False,False,
F-C1001-0-4,05/02/2011 11:04:00,C1001,PC-C1001,C:\docs\report_4.pdf,File Open,False,False,
F-C1001-0-5,05/02/2011 11:05:00,C1001,PC-C1001,C:\docs\report_5.pdf,File Open,False,False,
F-C1001-0-6,05/02/2011 11:06:00,C1001,PC-C1001,C:\docs\report_6.pdf,File Open,False,False,
F-C1001-0-7,05/02/2011 11:07:00,C1001,PC-C1001,C:\docs\report_7.pdf,File Open,False,False,
F-C1001-0-8,05/02/2011 11:08:00,C1001,PC-C1001,C:\docs\report_8.pdf,File Open,False,False,
F-C1002-0-0,05/02/2011 11:00:00,C1002,PC-C1002,C:\docs\report_0.pdf,File Open,False,False,
F-C1002-0-1,05/02/2011 11:01:00,C1002,PC-C1002,C:\docs\report_1.pdf,File Open,False,False,
F-C1002-0-2,05/02/2011 11:02:00,C1002,PC-C1002,C:\docs\report_2.pdf,File Open,False,False,
F-C1002-0-3,05/02/2011 11:03:00,C1002,PC-C1002,C:\docs\report_3.pdf,File Open,False,False,
F-C1002-0-4,05/02/2011 11:04:00,C1002,PC-C1002,C:\docs\report_4.pdf,File Open,False,False,
F-C1002-0-5,05/02/2011 11:05:00,C1002,PC-C1002,C:\docs\report_5.pdf,File Open,False,False,
F-C1002-0-6,05/02/2011 11:06:00,C1002,PC-C1002,C:\docs\report_6.pdf,File Open,False,False,
F-C1002-0-7,05/02/2011 11:07:00,C1002,PC-C1002,C:\docs\report_7.pdf,File Open,False,False,
F-C1002-0-8,05/02/2011 11:08:00,C1002,PC-C1002,C:\docs\report_8.pdf,File Open,False,False,
F-C1002-0-9,05/02/2011 11:09:00,C1002,PC-C1002,C:\docs\report_9.pdf,File Open,False,False,
F-C1003-0-0,05/02/2011 11:00:00,C1003,PC-C1003,C:\docs\report_0.pdf,File Open,False,False,
F-C1003-0-1,05/02/2011 11:01:00,C1003,PC-C1003,C:\docs\report_1.pdf,File Open,False,False,
F-C1003-0-2,05/02/2011 11:02:00,C1003,PC-C1003,C:\docs\report_2.pdf,File Open,False,False,
F-C1003-0-3,05/02/2011 11:03:00,C1003,PC-C1003,C:\docs\report_3.pdf,File Open,False,False,
F-C1003-0-4,05/02/2011 11:04:00,C1003,PC-C1003,C:\docs\report_4.pdf,File Open,False,False,
F-C1003-0-5,05/02/2011 11:05:00,C1003,PC-C1003,C:\docs\report_5.pdf,File Open,False,False,
F-C1003-0-6,05/02/2011 11:06:00,C1003,PC-C1003,C:\docs\report_6.pdf,File Open,False,False,
F-C1003-0-7,05/02/2011 11:07:00,C1003,PC-C1003,C:\docs\report_7.pdf,File Open,False,False,
F-C1004-0-0,05/02/2011 11:00:00,C1004,PC-C1004,C:\docs\report_0.pdf,File Open,False,False,
F-C1004-0-1,05/02/2011 11:01:00,C1004,PC-C1004,C:\docs\report_1.pdf,File Open,False,False,
F-C1004-0-2,05/02/2011 11:02:00,C1004,PC-C1004,C:\docs\report_2.pdf,File Open,False,False,
F-C1004-0-3,05/02/2011 11:03:00,C1004,PC-C1004,C:\docs\report_3.pdf,File Open,False,False,
F-C1004-0-4,05/02/2011 11:04:00,C1004,PC-C1004,C:\docs\report_4.pdf,File Open,False,False,
F-C1004-0-5,05/02/2011 11:05:00,C1004,PC-C1004,C:\docs\report_5.pdf,File Open,False,False,
F-C1004-0-6,05/02/2011 11:06:00,C1004,PC-C1004,C:\docs\report_6.pdf,File Open,False,False,
F-C1004-0-7,05/02/2011 11:07:00,C1004,PC-C1004,C:\docs\report_7.pdf,File Open,False,False,
F-C1004-0-8,05/02/2011 11:08:00,C1004,PC-C1004,C:\docs\report_8.pdf,File Open,False,False,
F-C1005-0-0,05/02/2011 11:00:00,C1005,PC-C1005,C:\docs\report_0.pdf,File Open,False,False,
F-C1005-0-1,05/02/2011 11:01:00,C1005,PC-C1005,C:\docs\report_1.pdf,File Open,False,False,
F-C1005-0-2,05/02/2011 11:02:00,C1005,PC-C1005,C:\docs\report_2.pdf,File Open,False,False,
F-C1005-0-3,05/02/2011 11:03:00,C1005,PC-C1005,C:\docs\report_3.pdf,File Open,False,False,
F-C1005-0-4,05/02/2011 11:04:00,C1005,PC-C1005,C:\docs\report_4.pdf,File Open,False,False,
F-C1005-0-5,05/02/2011 11:05:00,C1005,PC-C1005,C:\docs\report_5.pdf,File Open,False,False,
F-C1005-0-6,05/02/2011 11:06:00,C1005,PC-C1005,C:\docs\report_6.pdf,File Open,False,False,
F-C1005-0-7,05/02/2011 11:07:00,C1005,PC-C1005,C:\docs\report_7.pdf,File Open,False,False,
F-C1005-0-8,05/02/2011 11:08:00,C1005,PC-C1005,C:\docs\report_8.pdf,File Open,False,False,
F-C1005-0-9,05/02/2011 11:09:00,C1005,PC-C1005,C:\docs\report_9.pdf,File Open,False,False,
F-C1006-0-0,05/02/2011 11:00:00,C1006,PC-C1006,C:\docs\report_0.pdf,File Open,False,False,
F-C1006-0-1,05/02/2011 11:01:00,C1006,PC-C1006,C:\docs\report_1.pdf,File Open,False,False,
F-C1006-0-2,05/02/2011 11:02:00,C1006,PC-C1006,C:\docs\report_2.pdf,File Open,False,False,
F-C1006-0-3,05/02/2011 11:03:00,C1006,PC-C1006,C:\docs\report_3.pdf,File Open,False,False,
F-C1006-0-4,05/02/2011 11:04:00,C1006,PC-C1006,C:\docs\report_4.pdf,File Open,False,False,
F-C1006-0-5,05/02/2011 11:05:00,C1006,PC-C1006,C:\docs\report_5.pdf,File Open,False,False,
F-C1006-0-6,05/02/2011 11:06:00,C1006,PC-C1006,C:\docs\report_6.pdf,File Open,False,False,
F-C1006-0-7,05/02/2011 11:07:00,C1006,PC-C1006,C:\docs\report_7.pdf,File Open,False,False,
F-C1007-0-0,05/02/2011 11:00:00,C1007,PC-C1007,C:\docs\report_0.pdf,File Open,False,False,
F-C1007-0-1,05/02/2011 11:01:00,C1007,PC-C1007,C:\docs\report_1.pdf,File Open,False,False,
F-C1007-0-2,05/02/2011 11:02:00,C1007,PC-C1007,C:\docs\report_2.pdf,File Open,False,False,
F-C1007-0-3,05/02/2011 11:03:00,C1007,PC-C1007,C:\docs\report_3.pdf,File Open,False,False,
F-C1007-0-4,05/02/2011 11:04:00,C1007,PC-C1007,C:\docs\report_4.pdf,File Open,False,False,
F-C1007-0-5,05/02/2011 11:05:00,C1007,PC-C1007,C:\docs\report_5.pdf,File Open,False,False,
F-C1007-0-6,05/02/2011 11:06:00,C1007,PC-C1007,C:\docs\report_6.pdf,File Open,False,False,
F-C1007-0-7,05/02/2011 11:07:00,C1007,PC-C1007,C:\docs\report_7.pdf,File Open,False,False,
F-C1007-0-8,05/02/2011 11:08:00,C1007,PC-C1007,C:\docs\report_8.pdf,File Open,False,False,
F-C1008-0-0,05/02/2011 11:00:00,C1008,PC-C1008,C:\docs\report_0.pdf,File Open,False,False,
F-C1008-0-1,05/02/2011 11:01:00,C1008,PC-C1008,C:\docs\report_1.pdf,File Open,False,False,
F-C1008-0-2,05/02/2011 11:02:00,C1008,PC-C1008,C:\docs\report_2.pdf,File Open,False,False,
F-C1008-0-3,05/02/2011 11:03:00,C1008,PC-C1008,C:\docs\report_3.pdf,File Open,False,False,
F-C1008-0-4,05/02/2011 11:04:00,C1008,PC-C1008,C:\docs\report_4.pdf,File Open,False,False,
F-C1008-0-5,05/02/2011 11:05:00,C1008,PC-C1008,C:\docs\report_5.pdf,File Open,False,False,
F-C1008-0-6,05/02/2011 11:06:00,C1008,PC-C1008,C:\docs\report_6.pdf,File Open,False,False,
F-C1008-0-7,05/02/2011 11:07:00,C1008,PC-C1008,C:\docs\report_7.pdf,File Open,False,False,
F-C1008-0-8,05/02/2011 11:08:00,C1008,PC-C1008,C:\docs\report_8.pdf,File Open,False,False,
F-C1008-0-9,05/02/2011 11:09:00,C1008,PC-C1008,C:\docs\report_9.pdf,File Open,False,False,
F-C1009-0-0,05/02/2011 11:00:00,C1009,PC-C1009,C:\docs\report_0.pdf,File Open,False,False,
F-C1009-0-1,05/02/2011 11:01:00,C1009,PC-C1009,C:\docs\report_1.pdf,File Open,False,False,
F-C1009-0-2,05/02/2011 11:02:00,C1009,PC-C1009,C:\docs\report_2.pdf,File Open,False,False,
F-C1009-0-3,05/02/2011 11:03:00,C1009,PC-C1009,C:\docs\report_3.pdf,File Open,False,False,
F-C1009-0-4,05/02/2011 11:04:00,C1009,PC-C1009,C:\docs\report_4.pdf,File Open,False,False,
F-C1009-0-5,05/02/2011 11:05:00,C1009,PC-C1009,C:\docs\report_5.pdf,File Open,False,False,
F-C1009-0-6,05/02/2011 11:06:00,C1009,PC-C1009,C:\docs\report_6.pdf,File Open,False,False,
F-C1009-0-7,05/02/2011 11:07:00,C1009,PC-C1009,C:\docs\report_7.pdf,File Open,False,False,
F-C1010-0-0,05/02/2011 11:00:00,C1010,PC-C1010,C:\docs\report_0.pdf,File Open,False,False,
F-C1010-0-1,05/02/2011 11:01:00,C1010,PC-C1010,C:\docs\report_1.pdf,File Open,False,False,
F-C1010-0-2,05/02/2011 11:02:00,C1010,PC-C1010,C:\docs\report_2.pdf,File Open,False,False,
F-C1010-0-3,05/02/2011 11:03:00,C1010,PC-C1010,C:\docs\report_3.pdf,File Open,False,False,
F-C1010-0-4,05/02/2011 11:04:00,C1010,PC-C1010,C:\docs\report_4.pdf,File Open,False,False,
F-C1010-0-5,05/02/2011 11:05:00,C1010,PC-C1010,C:\docs\report_5.pdf,File Open,False,False,
F-C1010-0-6,05/02/2011 11:06:00,C1010,PC-C1010,C:\docs\report_6.pdf,File Open,False,False,
F-C1010-0-7,05/02/2011 11:07:00,C1010,PC-C1010,C:\docs\report_7.pdf,File Open,False,False,
F-C1010-0-8,05/02/2011 11:08:00,C1010,PC-C1010,C:\docs\report_8.pdf,File Open,False,False,
F-C1011-0-0,05/02/2011 11:00:00,C1011,PC-C1011,C:\docs\report_0.pdf,File Open,False,False,
F-C1011-0-1,05/02/2011 11:01:00,C1011,PC-C1011,C:\docs\report_1.pdf,File Open,False,False,
F-C1011-0-2,05/02/2011 11:02:00,C1011,PC-C1011,C:\docs\report_2.pdf,File Open,False,False,
F-C1011-0-3,05/02/2011 11:03:00,C1011,PC-C1011,C:\docs\report_3.pdf,File Open,False,False,
F-C1011-0-4,05/02/2011 11:04:00,C1011,PC-C1011,C:\docs\report_4.pdf,File Open,False,False,
F-C1011-0-5,05/02/2011 11:05:00,C1011,PC-C1011,C:\docs\report_5.pdf,File Open,False,False,
F-C1011-0-6,05/02/2011 11:06:00,C1011,PC-C1011,C:\docs\report_6.pdf,File Open,False,False,
F-C1011-0-7,05/02/2011 11:07:00,C1011,PC-C1011,C:\docs\report_7.pdf,File Open,False,False,
F-C1011-0-8,05/02/2011 11:08:00,C1011,PC-C1011,C:\docs\report_8.pdf,File Open,False,False,
F-C1011-0-9,05/02/2011 11:09:00,C1011,PC-C1011,C:\docs\report_9.pdf,File Open,False,False,
F-C1012-0-0,05/02/2011 11:00:00,C1012,PC-C1012,C:\docs\report_0.pdf,File Open,False,False,
F-C1012-0-1,05/02/2011 11:01:00,C1012,PC-C1012,C:\docs\report_1.pdf,File Open,False,False,
F-C1012-0-2,05/02/2011 11:02:00,C1012,PC-C1012,C:\docs\report_2.pdf,File Open,False,False,
F-C1012-0-3,05/02/2011 11:03:00,C1012,PC-C1012,C:\docs\report_3.pdf,File Open,False,False,
F-C1012-0-4,05/02/2011 11:04:00,C1012,PC-C1012,C:\docs\report_4.pdf,File Open,False,False,
F-C1012-0-5,05/02/2011 11:05:00,C1012,PC-C1012,C:\docs\report_5.pdf,File Open,False,False,
F-C1012-0-6,05/02/2011 11:06:00,C1012,PC-C1012,C:\docs\report_6.pdf,File Open,False,False,
F-C1012-0-7,05/02/2011 11:07:00,C1012,PC-C1012,C:\docs\report_7.pdf,File Open,False,False,
F-C1013-0-0,05/02/2011 11:00:00,C1013,PC-C1013,C:\docs\report_0.pdf,File Open,False,False,
F-C1013-0-1,05/02/2011 11:01:00,C1013,PC-C1013,C:\docs\report_1.pdf,File Open,False,False,
F-C1013-0-2,05/02/2011 11:02:00,C1013,PC-C1013,C:\docs\report_2.pdf,File Open,False,False,
F-C1013-0-3,05/02/2011 11:03:00,C1013,PC-C1013,C:\docs\report_3.pdf,File Open,False,False,
F-C1013-0-4,05/02/2011 11:04:00,C1013,PC-C1013,C:\docs\report_4.pdf,File Open,False,False,
F-C1013-0-5,05/02/2011 11:05:00,C1013,PC-C1013,C:\docs\report_5.pdf,File Open,False,False,
F-C1013-0-6,05/02/2011 11:06:00,C1013,PC-C1013,C:\docs\report_6.pdf,File Open,False,False,
F-C1013-0-7,05/02/2011 11:07:00,C1013,PC-C1013,C:\docs\report_7.pdf,File Open,False,False,
F-C1013-0-8,05/02/2011 11:08:00,C1013,PC-C1013,C:\docs\report_8.pdf,File Open,False,False,
F-C1014-0-0,05/02/2011 11:00:00,C1014,PC-C1014,C:\docs\report_0.pdf,File Open,False,False,
F-C1014-0-1,05/02/2011 11:01:00,C1014,PC-C1014,C:\docs\report_1.pdf,File Open,False,False,
F-C1014-0-2,05/02/2011 11:02:00,C1014,PC-C1014,C:\docs\report_2.pdf,File Open,False,False,
F-C1014-0-3,05/02/2011 11:03:00,C1014,PC-C1014,C:\docs\report_3.pdf,File Open,False,False,
F-C1014-0-4,05/02/2011 11:04:00,C1014,PC-C1014,C:\docs\report_4.pdf,File Open,False,False,
F-C1014-0-5,05/02/2011 11:05:00,C1014,PC-C1014,C:\docs\report_5.pdf,File Open,False,False,
F-C1014-0-6,05/02/2011 11:06:00,C1014,PC-C1014,C:\docs\report_6.pdf,File Open,False,False,
F-C1014-0-7,05/02/2011 11:07:00,C1014,PC-C1014,C:\docs\report_7.pdf,File Open,False,False,
F-C1014-0-8,05/02/2011 11:08:00,C1014,PC-C1014,C:\docs\report_8.pdf,File Open,False,False,
F-C1014-0-9,05/02/2011 11:09:00,C1014,PC-C1014,C:\docs\report_9.pdf,File Open,False,False,
F-C1015-0-0,05/02/2011 11:00:00,C1015,PC-C1015,C:\docs\report_0.pdf,File Open,False,False,
F-C1015-0-1,05/02/2011 11:01:00,C1015,PC-C1015,C:\docs\report_1.pdf,File Open,False,False,
F-C1015-0-2,05/02/2011 11:02:00,C1015,PC-C1015,C:\docs\report_2.pdf,File Open,False,False,
F-C1015-0-3,05/02/2011 11:03:00,C1015,PC-C1015,C:\docs\report_3.pdf,File Open,False,False,
F-C1015-0-4,05/02/2011 11:04:00,C1015,PC-C1015,C:\docs\report_4.pdf,File Open,False,False,
F-C1015-0-5,05/02/2011 11:05:00,C1015,PC-C1015,C:\docs\report_5.pdf,File Open,False,False,
F-C1015-0-6,05/02/2011 11:06:00,C1015,PC-C1015,C:\docs\report_6.pdf,File Open,False,False,
F-C1015-0-7,05/02/2011 11:07:00,C1015,PC-C1015,C:\docs\report_7.pdf,File Open,False,False,
F-C1016-0-0,05/02/2011 11:00:00,C1016,PC-C1016,C:\docs\report_0.pdf,File Open,False,False,
F-C1016-0-1,05/02/2011 11:01:00,C1016,PC-C1016,C:\docs\report_1.pdf,File Open,False,False,
F-C1016-0-2,05/02/2011 11:02:00,C1016,PC-C1016,C:\docs\report_2.pdf,File Open,False,False,
F-C1016-0-3,05/02/2011 11:03:00,C1016,PC-C1016,C:\docs\report_3.pdf,File Open,False,False,
F-C1016-0-4,05/02/2011 11:04:00,C1016,PC-C1016,C:\docs\report_4.pdf,File Open,False,False,
F-C1016-0-5,05/02/2011 11:05:00,C1016,PC-C1016,C:\docs\report_5.pdf,File Open,False,False,
F-C1016-0-6,05/02/2011 11:06:00,C1016,PC-C1016,C:\docs\report_6.pdf,File Open,False,False,
F-C1016-0-7,05/02/2011 11:07:00,C1016,PC-C1016,C:\docs\report_7.pdf,File Open,False,False,
F-C1016-0-8,05/02/2011 11:08:00,C1016,PC-C1016,C:\docs\report_8.pdf,File Open,False,False,
F-C1017-0-0,05/02/2011 11:00:00,C1017,PC-C1017,C:\docs\report_0.pdf,File Open,False,False,
