user_id,date,self_score,peer_score,cohort_used,cohort_size,fallback_applied,role,team,manager_id
C1000,2011-05-02,0.439214,0.497644,role,6,False,Accountant,AP,M-FIN
C1001,2011-05-02,0.051894,0.255504,role,6,False,Accountant,AP,M-FIN
C1002,2011-05-02,0.30485,0.428229,role,6,False,Accountant,AP,M-FIN
C1003,2011-05-02,0.383818,0.543477,role,6,False,Accountant,AP,M-FIN
C1004,2011-05-02,0.318963,0.497644,role,6,False,Accountant,AP,M-FIN
C1005,2011-05-02,0.853499,0.428229,role,6,False,Accountant,AP,M-FIN
C1006,2011-05-02,0.287375,0.428229,role,6,False,Engineer,Platform,M-ENG
C1007,2011-05-02,0.595553,0.967153,role,6,False,Engineer,Platform,M-ENG
C1008,2011-05-02,0.261879,0.543477,role,6,False,Engineer,Platform,M-ENG
C1009,2011-05-02,0.626419,0.428229,role,6,False,Engineer,Platform,M-ENG
C1010,2011-05-02,0.116379,0.467903,role,6,False,Engineer,Platform,M-ENG
C1011,2011-05-02,0.536059,0.487517,role,6,False,Engineer,Platform,M-ENG
C1012,2011-05-02,0.115156,0.487517,role,6,False,Administrator,Ops,M-IT
C1013,2011-05-02,0.0,0.199748,role,6,False,Administrator,Ops,M-IT
C1014,2011-05-02,0.881324,0.566508,role,6,False,Administrator,Ops,M-IT
C1015,2011-05-02,0.368615,0.543477,role,6,False,Administrator,Ops,M-IT
C1016,2011-05-02,0.041593,0.49514,role,6,False,Administrator,Ops,M-IT
C1017,2011-05-02,0.249611,0.456781,role,6,False,Administrator,Ops,M-IT
C1018,2011-05-02,0.0,0.408002,department,8,True,Financial Controller,Treasury,M-FIN
C1019,2011-05-02,0.504273,0.51795,department,8,True,Financial Controller,Treasury,M-FIN
C1000,2011-05-03,0.0,0.205549,role,6,False,Accountant,AP,M-FIN
C1001,2011-05-03,0.299135,0.465924,role,6,False,Accountant,AP,M-FIN
C1002,2011-05-03,0.161548,0.543477,role,6,False,Accountant,AP,M-FIN
C1003,2011-05-03,0.334015,0.361781,role,6,False,Accountant,AP,M-FIN
C1004,2011-05-03,0.571568,0.467903,role,6,False,Accountant,AP,M-FIN
C1005,2011-05-03,0.205862,0.428229,role,6,False,Accountant,AP,M-FIN
C1006,2011-05-03,0.0,0.487517,role,6,False,Engineer,Platform,M-ENG
C1007,2011-05-03,0.0,0.428229,role,6,False,Engineer,Platform,M-ENG
C1008,2011-05-03,0.892178,0.566508,role,6,False,Engineer,Platform,M-ENG
C1009,2011-05-03,0.131956,0.543477,role,6,False,Engineer,Platform,M-ENG
C1010,2011-05-03,0.482454,0.49754,role,6,False,Engineer,Platform,M-ENG
C1011,2011-05-03,0.09245,0.428229,role,6,False,Engineer,Platform,M-ENG
C1012,2011-05-03,0.063532,0.342805,role,6,False,Administrator,Ops,M-IT
C1013,2011-05-03,0.89478,0.646011,role,6,False,Administrator,Ops,M-IT
C1014,2011-05-03,0.818787,0.596309,role,6,False,Administrator,Ops,M-IT
C1015,2011-05-03,0.02522,0.329819,role,6,False,Administrator,Ops,M-IT
C1016,2011-05-03,0.319176,0.456781,role,6,False,Administrator,Ops,M-IT
C1017,2011-05-03,0.377048,0.526578,role,6,False,Administrator,Ops,M-IT
C1018,2011-05-03,0.0,0.551844,department,8,True,Financial Controller,Treasury,M-FIN
C1019,2011-05-03,0.831445,0.549691,department,8,True,Financial Controller,Treasury,M-FIN
C1000,2011-05-04,0.0,0.543477,role,6,False,Accountant,AP,M-FIN
C1001,2011-05-04,0.143061,0.392852,role,6,False,Accountant,AP,M-FIN
C1002,2011-05-04,0.504518,0.566508,role,6,False,Accountant,AP,M-FIN
C1003,2011-05-04,0.58639,0.543477,role,6,False,Accountant,AP,M-FIN
C1004,2011-05-04,0.369012,0.497644,role,6,False,Accountant,AP,M-FIN
C1005,2011-05-04,0.0,0.255504,role,6,False,Accountant,AP,M-FIN
C1006,2011-05-04,0.418545,0.428229,role,6,False,Engineer,Platform,M-ENG
C1007,2011-05-04,0.188439,0.647042,role,6,False,Engineer,Platform,M-ENG
C1008,2011-05-04,0.499649,0.598629,role,6,False,Engineer,Platform,M-ENG
C1009,2011-05-04,0.499966,0.428229,role,6,False,Engineer,Platform,M-ENG
C1010,2011-05-04,0.256368,0.428229,role,6,False,Engineer,Platform,M-ENG
C1011,2011-05-04,0.038303,0.527344,role,6,False,Engineer,Platform,M-ENG
C1012,2011-05-04,0.712534,0.487517,role,6,False,Administrator,Ops,M-IT
C1013,2011-05-04,0.854417,0.532993,role,6,False,Administrator,Ops,M-IT
C1014,2011-05-04,0.0,0.299819,role,6,False,Administrator,Ops,M-IT
C1015,2011-05-04,0.315508,0.543477,role,6,False,Administrator,Ops,M-IT
C1016,2011-05-04,0.105701,0.487517,role,6,False,Administrator,Ops,M-IT
C1017,2011-05-04,0.339734,0.372977,role,6,False,Administrator,Ops,M-IT
C1018,2011-05-04,0.0,0.321958,department,8,True,Financial Controller,Treasury,M-FIN
C1019,2011-05-04,0.20835,0.473809,department,8,True,Financial Controller,Treasury,M-FIN
C1000,2011-05-05,0.0,0.601186,role,6,False,Accountant,AP,M-FIN
C1001,2011-05-05,0.513051,0.448221,role,6,False,Accountant,AP,M-FIN
C1002,2011-05-05,0.883034,0.543477,role,6,False,Accountant,AP,M-FIN
C1003,2011-05-05,0.390724,0.41269,role,6,False,Accountant,AP,M-FIN
C1004,2011-05-05,0.0,0.214873,role,6,False,Accountant,AP,M-FIN
C1005,2011-05-05,0.357132,0.392852,role,6,False,Accountant,AP,M-FIN
C1006,2011-05-05,0.57417,0.487517,role,6,False,Engineer,Platform,M-ENG
C1007,2011-05-05,0.015539,0.532993,role,6,False,Engineer,Platform,M-ENG
C1008,2011-05-05,0.432451,0.428229,role,6,False,Engineer,Platform,M-ENG
C1009,2011-05-05,0.216006,0.543477,role,6,False,Engineer,Platform,M-ENG
C1010,2011-05-05,0.0,0.487517,role,6,False,Engineer,Platform,M-ENG
C1011,2011-05-05,0.71252,0.428229,role,6,False,Engineer,Platform,M-ENG
C1012,2011-05-05,0.32071,0.456781,role,6,False,Administrator,Ops,M-IT
C1013,2011-05-05,0.0,0.487517,role,6,False,Administrator,Ops,M-IT
C1014,2011-05-05,0.189695,0.543477,role,6,False,Administrator,Ops,M-IT
C1015,2011-05-05,0.136912,0.456781,role,6,False,Administrator,Ops,M-IT
C1016,2011-05-05,0.563275,0.560656,role,6,False,Administrator,Ops,M-IT
C1017,2011-05-05,0.589293,0.487517,role,6,False,Administrator,Ops,M-IT
C1018,2011-05-05,0.0,0.551844,department,8,True,Financial Controller,Treasury,M-FIN
C1019,2011-05-05,0.0,0.27461,department,8,True,Financial Controller,Treasury,M-FIN
C1000,2011-05-06,0.0,0.616611,role,6,False,Accountant,AP,M-FIN
C1001,2011-05-06,1.0,0.532993,role,6,False,Accountant,AP,M-FIN
C1002,2011-05-06,0.236716,0.318516,role,6,False,Accountant,AP,M-FIN
C1003,2011-05-06,0.0,0.543477,role,6,False,Accountant,AP,M-FIN
C1004,2011-05-06,0.272865,0.497644,role,6,False,Accountant,AP,M-FIN
C1005,2011-05-06,0.673689,0.372977,role,6,False,Accountant,AP,M-FIN
C1006,2011-05-06,0.262184,0.364485,role,6,False,Engineer,Platform,M-ENG
C1007,2011-05-06,0.0,0.487517,role,6,False,Engineer,Platform,M-ENG
C1008,2011-05-06,0.15751,0.543477,role,6,False,Engineer,Platform,M-ENG
C1009,2011-05-06,0.0,0.299819,role,6,False,Engineer,Platform,M-ENG
C1010,2011-05-06,1.0,0.560656,role,6,False,Engineer,Platform,M-ENG
C1011,2011-05-06,0.429451,0.487517,role,6,False,Engineer,Platform,M-ENG
C1012,2011-05-06,0.169035,0.49514,role,6,False,Administrator,Ops,M-IT
C1013,2011-05-06,0.27027,0.456781,role,6,False,Administrator,Ops,M-IT
C1014,2011-05-06,0.395209,0.456781,role,6,False,Administrator,Ops,M-IT
C1015,2011-05-06,0.829923,0.646011,role,6,False,Administrator,Ops,M-IT
C1016,2011-05-06,1.0,0.596309,role,6,False,Administrator,Ops,M-IT
C1017,2011-05-06,0.442673,0.456781,role,6,False,Administrator,Ops,M-IT
C1018,2011-05-06,0.0,0.207607,department,8,True,Financial Controller,Treasury,M-FIN
C1019,2011-05-06,0.488854,0.53176,department,8,True,Financial Controller,Treasury,M-FIN
C1000,2011-05-07,0.0,0.63066,role,6,False,Accountant,AP,M-FIN
C1001,2011-05-07,0.242452,0.392852,role,6,False,Accountant,AP,M-FIN
C1002,2011-05-07,0.0,0.543477,role,6,False,Accountant,AP,M-FIN
C1003,2011-05-07,0.311595,0.299819,role,6,False,Accountant,AP,M-FIN
C1004,2011-05-07,0.966584,0.560656,role,6,False,Accountant,AP,M-FIN
C1005,2011-05-07,0.336573,0.392852,role,6,False,Accountant,AP,M-FIN
C1006,2011-05-07,0.563901,0.49754,role,6,False,Engineer,Platform,M-ENG
C1007,2011-05-07,0.0,0.428229,role,6,False,Engineer,Platform,M-ENG
C1008,2011-05-07,0.179188,0.342908,role,6,False,Engineer,Platform,M-ENG
